name_cn,name_eg,assets,debts,mk,loan %,mk/net assets,mk/assets
美国塞纳公司,CernerCorp.(cern),68.79,28.61,213.31,41.59%,530.89%,310.09%
美元树公司,"DollarTree,Inc.(dltr)",206.71,138.57,208.88,67.04%,306.55%,101.05%
因塞特医疗,IncyteCorp.(incy),32.12,8.68,189.81,27.02%,809.77%,590.94%
美信集成产品公司,"MaximIntegratedProducts,Inc.(mxim)",36.29,19.72,176.58,54.34%,1065.66%,486.58%
携程旅行网,Trip.comGroupLtd.(tcom),277.31,134.91,174.54,48.65%,122.57%,62.94%
CheckPoint软件科技,CheckPointSoftwareTechnologiesLtd.(chkp),55.87,21.81,171.69,39.04%,504.08%,307.30%
福克斯-B,FoxCorp.(fox),217.5,113.34,169.33,52.11%,162.57%,77.85%
21世纪福克斯公司,FoxCorp.(foxa),217.5,113.34,169.09,52.11%,162.34%,77.74%
美国思杰公司,"CitrixSystems,Inc.(ctxs)",45.48,46.42,165.52,102.07%,-17608.51%,363.94%
拜玛林制药,"BioMarinPharmaceutical,Inc.(bmrn)",53.02,20.65,143.96,38.95%,444.73%,271.52%
客行,"ExpediaGroup,Inc.(expe)",219.05,176.8,132.47,80.71%,313.54%,60.47%
Ulta美容产品公司,"UltaBeauty,Inc.(ulta)",54.97,37.26,130.52,67.78%,736.98%,237.44%
自由全球,LibertyGlobalPlc(lbtyk),473.4,347.9,125.28,73.49%,99.82%,26.46%
西部数据公司,WesternDigitalCorp.(wdc),256.62,161.11,112.57,62.78%,117.86%,43.87%
联合大陆航空,"UnitedAirlinesHoldings,Inc.(ual)",549.01,463.84,107.58,84.49%,126.31%,19.60%
美国网存公司,"NetApp,Inc.(ntap)",84.16,81.32,94.6,96.63%,3330.99%,112.40%
美国航空集团公司,"AmericanAirlinesGroup,Inc.(aal)",645.44,677.13,67.08,104.91%,-211.68%,10.39%
